Secu Code,Date,Close,Open,High,Low,Adj Close,Volume,,Return,,,,,,,MA(15),RSI,Gain,Loss,Av Gain,Av Loss,EMA(12),EMA(26),MACD,Signal line
1.HK,22/12/2016,88.75,88.849998,89.599998,88.349998,75.94632,9158672,,0.009670057,,,,,,,91.1700002,21.78762024,0.849998,0,0.139284786,0.499999286,90.29031355,92.05723194,-1.766918389,-1.387596831
1.HK,23/12/2016,88.099998,88,88.599998,87.900002,75.390091,4194707,,-0.007323966,,,,,,,90.78999987,21.19556155,0,0.650002,0.139284786,0.5178565,89.95334193,91.7641035,-1.810761572,-1.472229779
1.HK,28/12/2016,88.099998,88.5,89,87.699997,75.390091,8645808,,0,,,,,,,90.43666627,17.14278955,0,0,0.107142214,0.5178565,89.66821209,91.49268827,-1.824476184,-1.54267906
1.HK,29/12/2016,87.900002,88,88.300003,87.349998,75.218941,6454700,,-0.002270102,,,,,,,90.03999987,19.48045826,0,0.199996,0.107142214,0.442856214,89.39617977,91.22656337,-1.830383597,-1.600219967
1.HK,30/12/2016,87.900002,87,88.449997,87,75.218941,5452430,,0,,,,,,,89.7266668,19.999928,0,0,0.107142214,0.428570786,89.16599857,90.98015141,-1.814152839,-1.643006542
1.HK,3/1/2017,90.800003,88.849998,90.800003,88,77.700569,5620699,,0.032992047,,,,,,,89.6200002,39.08631158,2.900001,0,0.274999786,0.428570786,89.41738387,90.96680709,-1.549423216,-1.624289876
1.HK,4/1/2017,90.150002,90.949997,91.050003,89.349998,77.144333,3966484,,-0.007158601,,,,,,,89.43333387,40.1041563,0,0.650001,0.274999786,0.410714143,89.53009435,90.90630301,-1.376208654,-1.574673632
1.HK,5/1/2017,90.699997,91.25,91.25,90.050003,77.61499,3496704,,0.006100887,,,,,,,89.34333347,47.0588034,0.549995,0,0.314285143,0.353571071,89.71007937,90.89102108,-1.180941705,-1.495927246
1.HK,6/1/2017,90.150002,90.900002,90.949997,89.599998,77.144333,5549846,,-0.006063892,,,,,,,89.27000027,43.87756143,0,0.549995,0.307142429,0.392856429,89.77775978,90.83613078,-1.058370998,-1.408415997
1.HK,9/1/2017,90,91,91,89.699997,77.015984,4810131,,-0.001663916,,,,,,,89.1800004,48.58756871,0,0.150002,0.307142429,0.324999571,89.81195058,90.77419516,-0.962244582,-1.319181714
